period,value
2020-01-01,29737033.0
2020-01-02,31108824.0
2020-01-03,30579865.0
2020-01-04,29594265.0
2020-01-05,30203300.0
2020-01-06,32200399.0
2020-01-07,32435092.0
2020-01-08,33339049.0
2020-01-09,32921903.0
2020-01-10,31100905.0
2020-01-11,29401156.0
2020-01-12,29528018.0
2020-01-13,31706661.0
2020-01-14,31388784.0
2020-01-15,31154649.0
2020-01-16,32159797.0
2020-01-17,33482933.0
2020-01-18,31625502.0
2020-01-19,31709147.0
2020-01-20,35587193.0
2020-01-21,36600672.0
2020-01-22,36144939.0
2020-01-23,33812522.0
2020-01-24,32082633.0
2020-01-25,30495993.0
2020-01-26,30080660.0
2020-01-27,32028938.0
2020-01-28,32751194.0
2020-01-29,33375101.0
2020-01-30,33336238.0
2020-01-31,32595402.0
2020-02-01,30534310.0
2020-02-02,29335722.0
2020-02-03,30453516.0
2020-02-04,31123255.0
2020-02-05,32482837.0
2020-02-06,33173457.0
2020-02-07,33008965.0
2020-02-08,31698206.0
2020-02-09,30448261.0
2020-02-10,32056038.0
2020-02-11,32189871.0
2020-02-12,32429914.0
2020-02-13,33294670.0
2020-02-14,34406797.0
2020-02-15,32356997.0
2020-02-16,29728337.0
2020-02-17,30959071.0
2020-02-18,31475825.0
2020-02-19,32246640.0
2020-02-20,34275251.0
2020-02-21,34604607.0
2020-02-22,31660812.0
2020-02-23,29559568.0
2020-02-24,30814550.0
2020-02-25,30980117.0
2020-02-26,31996329.0
2020-02-27,33184262.0
2020-02-28,32728775.0
2020-02-29,30627850.0
2020-03-01,29362223.0
2020-03-02,30133800.0
2020-03-03,29610268.0
2020-03-04,29923577.0
2020-03-05,30436320.0
2020-03-06,30743840.0
2020-03-07,29204789.0
2020-03-08,27218716.0
2020-03-09,29230069.0
2020-03-10,29300659.0
2020-03-11,29435182.0
2020-03-12,29716905.0
2020-03-13,29437336.0
2020-03-14,28554917.0
2020-03-15,28379001.0
2020-03-17,30092051.0
2020-03-18,29847177.0
2020-03-19,29784207.0
2020-03-20,29176220.0
2020-03-21,27753966.0
2020-03-22,27493647.0
2020-03-23,29432796.0
2020-03-24,29276027.0
2020-03-25,29254438.0
2020-03-26,28875318.0
2020-03-27,28515137.0
2020-03-28,27449049.0
2020-03-29,26470694.0
2020-03-30,27769277.0
2020-03-31,28140571.0
2020-04-01,27725154.0
2020-04-02,27496365.0
2020-04-03,27446634.0
2020-04-04,26205747.0
2020-04-05,25343590.0
2020-04-06,26868196.0
2020-04-07,27580072.0
2020-04-08,28280101.0
2020-04-09,28411192.0
2020-04-10,26739492.0
2020-04-11,25502687.0
2020-04-12,25759559.0
2020-04-13,27565365.0
2020-04-14,27840778.0
2020-04-15,27991101.0
2020-04-16,27784838.0
2020-04-17,27716274.0
2020-04-18,26123005.0
2020-04-19,25700017.0
2020-04-20,27011361.0
2020-04-21,27505449.0
2020-04-22,27509866.0
2020-04-23,27616348.0
2020-04-24,27588535.0
2020-04-25,26006537.0
2020-04-26,25899014.0
2020-04-27,27439120.0
2020-04-28,27917288.0
2020-04-29,27623579.0
2020-04-30,27434072.0
2020-05-01,27044370.0
2020-05-02,26212200.0
2020-05-04,28685796.0
2020-05-05,28691228.0
2020-05-06,28239721.0
2020-05-07,27796015.0
2020-05-08,27784158.0
2020-05-09,26514309.0
2020-05-10,25612555.0
2020-05-11,27710297.0
2020-05-12,27817897.0
2020-05-13,27970811.0
2020-05-14,28514754.0
2020-05-15,28728173.0
2020-05-16,27417387.0
2020-05-17,27259513.0
2020-05-18,28834526.0
2020-05-19,28896891.0
2020-05-20,28624283.0
2020-05-21,28994103.0
2020-05-22,29617437.0
2020-05-23,28835410.0
2020-05-24,28333526.0
2020-05-25,28523954.0
2020-05-26,31316049.0
2020-05-27,32137989.0
2020-05-28,32603341.0
2020-05-29,32300255.0
2020-05-30,29935786.0
2020-05-31,28365817.0
2020-06-01,30660004.0
2020-06-02,33070119.0
2020-06-03,34971864.0
2020-06-04,35623134.0
2020-06-05,35340062.0
2020-06-06,33531521.0
2020-06-07,31905026.0
2020-06-08,34353653.0
2020-06-09,36116082.0
2020-06-10,36015045.0
2020-06-11,34670066.0
2020-06-12,33692410.0
2020-06-13,30789738.0
2020-06-14,29902300.0
2020-06-15,32404384.0
2020-06-16,32944988.0
2020-06-17,33393102.0
2020-06-18,34387576.0
2020-06-19,34817805.0
2020-06-20,33764614.0
2020-06-21,33782218.0
2020-06-22,36399852.0
2020-06-23,36197625.0
2020-06-24,35754028.0
2020-06-25,35992169.0
2020-06-26,36282761.0
2020-06-27,35156128.0
2020-06-28,35228007.0
2020-06-29,37859932.0
2020-06-30,37662632.0
2020-07-01,37453525.0
2020-07-02,38233800.0
2020-07-03,37522573.0
2020-07-04,36221764.0
2020-07-05,36449303.0
2020-07-06,38895996.0
2020-07-07,39080327.0
2020-07-08,40128743.0
2020-07-09,40949072.0
2020-07-10,40314989.0
2020-07-11,38751161.0
2020-07-12,37302950.0
2020-07-13,40047011.0
2020-07-14,39775794.0
2020-07-15,39612100.0
2020-07-16,39442948.0
2020-07-17,40077580.0
2020-07-18,39347565.0
2020-07-19,39259760.0
2020-07-20,41150352.0
2020-07-21,40226298.0
2020-07-22,39763244.0
2020-07-23,39426316.0
2020-07-24,38912662.0
2020-07-25,37532742.0
2020-07-26,38069745.0
2020-07-27,40568590.0
2020-07-28,40444696.0
2020-07-29,39898308.0
2020-07-30,40054643.0
2020-07-31,39012359.0
2020-08-01,36472913.0
2020-08-02,36211380.0
2020-08-03,37768280.0
2020-08-04,36791587.0
2020-08-05,36689210.0
2020-08-06,36856248.0
2020-08-07,37227780.0
2020-08-08,36764526.0
2020-08-09,37641820.0
2020-08-10,40671978.0
2020-08-11,40298900.0
2020-08-12,40264137.0
2020-08-13,40341527.0
2020-08-14,40100572.0
2020-08-15,37704080.0
2020-08-16,36375940.0
2020-08-17,38155154.0
2020-08-18,38158695.0
2020-08-19,37260592.0
2020-08-20,36942112.0
2020-08-21,37175849.0
2020-08-22,36475771.0
2020-08-23,36935697.0
2020-08-24,40416054.0
2020-08-25,40693132.0
2020-08-26,39488151.0
2020-08-27,39947842.0
2020-08-28,39581227.0
2020-08-29,36503103.0
2020-08-30,33831373.0
2020-08-31,35719210.0
2020-09-01,36608372.0
2020-09-02,37714253.0
2020-09-03,38199753.0
2020-09-04,37035448.0
2020-09-05,33861109.0
2020-09-06,33348105.0
2020-09-07,33678336.0
2020-09-08,35047109.0
2020-09-09,34558891.0
2020-09-10,34286957.0
2020-09-11,33458366.0
2020-09-12,31446448.0
2020-09-13,31323254.0
2020-09-14,33221613.0
2020-09-15,32489204.0
2020-09-16,32296467.0
2020-09-17,32486696.0
2020-09-18,31411013.0
2020-09-19,28495640.0
2020-09-20,27566138.0
2020-09-21,29676987.0
2020-09-22,30050738.0
2020-09-23,30517158.0
2020-09-24,30950182.0
2020-09-25,31325429.0
2020-09-26,30311133.0
2020-09-27,30358020.0
2020-09-28,31625713.0
2020-09-29,30696197.0
2020-09-30,29995629.0
2020-10-01,29952669.0
2020-10-02,29117455.0
2020-10-03,27405202.0
2020-10-04,27108360.0
2020-10-05,29603491.0
2020-10-06,30287827.0
2020-10-07,30919360.0
2020-10-08,30729774.0
2020-10-09,30480243.0
2020-10-10,28947849.0
2020-10-11,28861667.0
2020-10-12,30750863.0
2020-10-13,30436586.0
2020-10-14,30406310.0
2020-10-15,30447502.0
2020-10-16,29451741.0
2020-10-17,27565548.0
2020-10-18,27767862.0
2020-10-19,29914433.0
2020-10-20,30397894.0
2020-10-21,30660923.0
2020-10-22,31035764.0
2020-10-23,30418224.0
2020-10-24,27883416.0
2020-10-25,27741859.0
2020-10-26,30333001.0
2020-10-27,30599798.0
2020-10-28,30349041.0
2020-10-29,30109222.0
2020-10-30,29184702.0
2020-10-31,27640706.0
2020-11-01,28449228.0
2020-11-02,29901056.0
2020-11-03,29778221.0
2020-11-04,29193291.0
2020-11-05,29009889.0
2020-11-06,28640990.0
2020-11-07,27138429.0
2020-11-08,26873100.0
2020-11-09,29659879.0
2020-11-10,30055011.0
2020-11-11,30119810.0
2020-11-12,30197508.0
2020-11-13,29847234.0
2020-11-14,28541902.0
2020-11-15,27686691.0
2020-11-16,29715390.0
2020-11-17,30433201.0
2020-11-18,30884971.0
2020-11-19,30610481.0
2020-11-20,29453639.0
2020-11-21,27808572.0
2020-11-22,27807684.0
2020-11-23,30006432.0
2020-11-24,30839318.0
2020-11-25,30161820.0
2020-11-26,27491514.0
2020-11-27,27285921.0
2020-11-28,27519936.0
2020-11-29,28447084.0
2020-11-30,31838728.0
2020-12-01,33498136.0
