period,value
2020-01-01,29639841.0
2020-01-02,31106461.0
2020-01-03,30567561.0
2020-01-04,29675389.0
2020-01-05,30222077.0
2020-01-06,32242728.0
2020-01-07,32518297.0
2020-01-08,33364982.0
2020-01-09,32753989.0
2020-01-10,31012717.0
2020-01-11,29394907.0
2020-01-12,29528246.0
2020-01-13,31767995.0
2020-01-14,31370651.0
2020-01-15,31157246.0
2020-01-16,32351013.0
2020-01-17,33467792.0
2020-01-18,31550394.0
2020-01-19,31915029.0
2020-01-20,35745555.0
2020-01-21,36639705.0
2020-01-22,35939028.0
2020-01-23,33650703.0
2020-01-24,32002871.0
2020-01-25,30468221.0
2020-01-26,30061743.0
2020-01-27,32124014.0
2020-01-28,32822549.0
2020-01-29,33404118.0
2020-01-30,33298938.0
2020-01-31,32520147.0
2020-02-01,30477388.0
2020-02-02,29204709.0
2020-02-03,30488953.0
2020-02-04,31213672.0
2020-02-05,32594415.0
2020-02-06,33214545.0
2020-02-07,33043306.0
2020-02-08,31589383.0
2020-02-09,30336641.0
2020-02-10,32108351.0
2020-02-11,32232729.0
2020-02-12,32453447.0
2020-02-13,33492327.0
2020-02-14,34456429.0
2020-02-15,32055876.0
2020-02-16,29635503.0
2020-02-17,30976057.0
2020-02-18,31531986.0
2020-02-19,32378503.0
2020-02-20,34479350.0
2020-02-21,34575226.0
2020-02-22,31396083.0
2020-02-23,29394875.0
2020-02-24,30863182.0
2020-02-25,31025401.0
2020-02-26,32173543.0
2020-02-27,33235904.0
2020-02-28,32629556.0
2020-02-29,30565032.0
2020-03-01,29187552.0
2020-03-02,30112146.0
2020-03-03,29620988.0
2020-03-04,29963370.0
2020-03-05,30480908.0
2020-03-06,30796076.0
2020-03-07,29118229.0
2020-03-08,27108879.0
2020-03-09,29218681.0
2020-03-10,29344114.0
2020-03-11,29446640.0
2020-03-12,29716610.0
2020-03-13,29454024.0
2020-03-14,28544901.0
2020-03-15,28402870.0
2020-03-17,30056806.0
2020-03-18,29816499.0
2020-03-19,29780212.0
2020-03-20,29147137.0
2020-03-21,27729063.0
2020-03-22,27477958.0
2020-03-23,29498265.0
2020-03-24,29263057.0
2020-03-25,29244816.0
2020-03-26,28842430.0
2020-03-27,28505011.0
2020-03-28,27369980.0
2020-03-29,26438003.0
2020-03-30,27855466.0
2020-03-31,28167957.0
2020-04-01,27695464.0
2020-04-02,27474944.0
2020-04-03,27420128.0
2020-04-04,26148510.0
2020-04-05,25307410.0
2020-04-06,26932728.0
2020-04-07,27636984.0
2020-04-08,28294050.0
2020-04-09,28395318.0
2020-04-10,26699989.0
2020-04-11,25450438.0
2020-04-12,25769560.0
2020-04-13,27672297.0
2020-04-14,27884214.0
2020-04-15,27980616.0
2020-04-16,27754529.0
2020-04-17,27694929.0
2020-04-18,26058702.0
2020-04-19,25671695.0
2020-04-20,27050550.0
2020-04-21,27557550.0
2020-04-22,27516016.0
2020-04-23,27610657.0
2020-04-24,27576690.0
2020-04-25,25952610.0
2020-04-26,25891734.0
2020-04-27,27516188.0
2020-04-28,27939472.0
2020-04-29,27583120.0
2020-04-30,27425112.0
2020-05-01,27020754.0
2020-05-02,26213192.0
2020-05-04,28788580.0
2020-05-05,28655635.0
2020-05-06,28244394.0
2020-05-07,27781197.0
2020-05-08,27782277.0
2020-05-09,26471686.0
2020-05-10,25532825.0
2020-05-11,27833024.0
2020-05-12,27793362.0
2020-05-13,27988718.0
2020-05-14,28559602.0
2020-05-15,28706393.0
2020-05-16,27378845.0
2020-05-17,27269787.0
2020-05-18,28880622.0
2020-05-19,28901293.0
2020-05-20,28623942.0
2020-05-21,29032843.0
2020-05-22,29641723.0
2020-05-23,28818202.0
2020-05-24,28285756.0
2020-05-25,28579156.0
2020-05-26,31477175.0
2020-05-27,32156380.0
2020-05-28,32625611.0
2020-05-29,32214731.0
2020-05-30,29820986.0
2020-05-31,28329922.0
2020-06-01,30812536.0
2020-06-02,33259377.0
2020-06-03,35053793.0
2020-06-04,35639066.0
2020-06-05,35295255.0
2020-06-06,33418513.0
2020-06-07,31882257.0
2020-06-08,34506460.0
2020-06-09,36219664.0
2020-06-10,35892080.0
2020-06-11,34603451.0
2020-06-12,33612624.0
2020-06-13,30657118.0
2020-06-14,29915920.0
2020-06-15,32513191.0
2020-06-16,32962218.0
2020-06-17,33456342.0
2020-06-18,34450139.0
2020-06-19,34784501.0
2020-06-20,33792868.0
2020-06-21,33804933.0
2020-06-22,36510369.0
2020-06-23,36149332.0
2020-06-24,35741004.0
2020-06-25,36039133.0
2020-06-26,36314708.0
2020-06-27,35117279.0
2020-06-28,35239754.0
2020-06-29,37971161.0
2020-06-30,37633600.0
2020-07-01,37437117.0
2020-07-02,38293901.0
2020-07-03,37499990.0
2020-07-04,36170550.0
2020-07-05,36504074.0
2020-07-06,38978783.0
2020-07-07,39117713.0
2020-07-08,40215618.0
2020-07-09,41003880.0
2020-07-10,40240185.0
2020-07-11,38663066.0
2020-07-12,37268868.0
2020-07-13,40126329.0
2020-07-14,39778541.0
2020-07-15,39599684.0
2020-07-16,39454253.0
2020-07-17,40111833.0
2020-07-18,39383255.0
2020-07-19,39238156.0
2020-07-20,41165104.0
2020-07-21,40184718.0
2020-07-22,39727225.0
2020-07-23,39399522.0
2020-07-24,38876182.0
2020-07-25,37505636.0
2020-07-26,38160126.0
2020-07-27,40649315.0
2020-07-28,40362033.0
2020-07-29,39936238.0
2020-07-30,40060439.0
2020-07-31,38886080.0
2020-08-01,36393059.0
2020-08-02,36174220.0
2020-08-03,37809250.0
2020-08-04,36720679.0
2020-08-05,36697149.0
2020-08-06,36888837.0
2020-08-07,37251653.0
2020-08-08,36812685.0
2020-08-09,37744163.0
2020-08-10,40712314.0
2020-08-11,40312198.0
2020-08-12,40255299.0
2020-08-13,40373828.0
2020-08-14,40062839.0
2020-08-15,37595476.0
2020-08-16,36277885.0
2020-08-17,38213497.0
2020-08-18,38140317.0
2020-08-19,37190691.0
2020-08-20,36947386.0
2020-08-21,37214138.0
2020-08-22,36448907.0
2020-08-23,37060633.0
2020-08-24,40549645.0
2020-08-25,40643753.0
2020-08-26,39442797.0
2020-08-27,40008816.0
2020-08-28,39501358.0
2020-08-29,36273479.0
2020-08-30,33743185.0
2020-08-31,35823569.0
2020-09-01,36674741.0
2020-09-02,37772291.0
2020-09-03,38184084.0
2020-09-04,36893534.0
2020-09-05,33773394.0
2020-09-06,33336989.0
2020-09-07,33667890.0
2020-09-08,35072759.0
2020-09-09,34538337.0
2020-09-10,34263352.0
2020-09-11,33391959.0
2020-09-12,31384190.0
2020-09-13,31272517.0
2020-09-14,33255628.0
2020-09-15,32447283.0
2020-09-16,32323133.0
2020-09-17,32467484.0
2020-09-18,31307782.0
2020-09-19,28367981.0
2020-09-20,27566381.0
2020-09-21,29743370.0
2020-09-22,30061210.0
2020-09-23,30558727.0
2020-09-24,30978117.0
2020-09-25,31346348.0
2020-09-26,30299316.0
2020-09-27,30368379.0
2020-09-28,31582376.0
2020-09-29,30655520.0
2020-09-30,29968890.0
2020-10-01,29954817.0
2020-10-02,29062647.0
2020-10-03,27349533.0
2020-10-04,27118381.0
2020-10-05,29699465.0
2020-10-06,30313865.0
