period,value
2020-01-01,29591505.0
2020-01-02,31089588.0
2020-01-03,30564451.0
2020-01-04,29728097.0
2020-01-05,30234590.0
2020-01-06,32256910.0
2020-01-07,32569177.0
2020-01-08,33366351.0
2020-01-09,32661188.0
2020-01-10,30965650.0
2020-01-11,29402621.0
2020-01-12,29531858.0
2020-01-13,31780884.0
2020-01-14,31366104.0
2020-01-15,31161301.0
2020-01-16,32451343.0
2020-01-17,33454673.0
2020-01-18,31525857.0
2020-01-19,32029121.0
2020-01-20,35819439.0
2020-01-21,36658760.0
2020-01-22,35823767.0
2020-01-23,33573323.0
2020-01-24,31963754.0
2020-01-25,30459441.0
2020-01-26,30052001.0
2020-01-27,32168904.0
2020-01-28,32859022.0
2020-01-29,33415294.0
2020-01-30,33276332.0
2020-01-31,32488334.0
2020-02-01,30451768.0
2020-02-02,29140773.0
2020-02-03,30493935.0
2020-02-04,31259214.0
2020-02-05,32654231.0
2020-02-06,33237239.0
2020-02-07,33067735.0
2020-02-08,31529345.0
2020-02-09,30277556.0
2020-02-10,32127376.0
2020-02-11,32249174.0
2020-02-12,32471421.0
2020-02-13,33600854.0
2020-02-14,34486377.0
2020-02-15,31900287.0
2020-02-16,29596390.0
2020-02-17,30971196.0
2020-02-18,31563817.0
2020-02-19,32446155.0
2020-02-20,34587947.0
2020-02-21,34559247.0
2020-02-22,31270500.0
2020-02-23,29305717.0
2020-02-24,30878447.0
2020-02-25,31048839.0
2020-02-26,32273731.0
2020-02-27,33262377.0
2020-02-28,32574920.0
2020-02-29,30540987.0
2020-03-01,29090416.0
2020-03-02,30088672.0
2020-03-03,29630294.0
2020-03-04,29987365.0
2020-03-05,30501365.0
2020-03-06,30827084.0
2020-03-07,29097763.0
2020-03-08,27028208.0
2020-03-09,29200737.0
2020-03-10,29363069.0
2020-03-11,29452125.0
2020-03-12,29713153.0
2020-03-13,29463960.0
2020-03-14,28544874.0
2020-03-15,28421316.0
2020-03-17,30040606.0
2020-03-18,29799810.0
2020-03-19,29771511.0
2020-03-20,29139195.0
2020-03-21,27725248.0
2020-03-22,27472451.0
2020-03-23,29524095.0
2020-03-24,29254185.0
2020-03-25,29238851.0
2020-03-26,28816999.0
2020-03-27,28502863.0
2020-03-28,27332193.0
2020-03-29,26427093.0
2020-03-30,27896976.0
2020-03-31,28189056.0
2020-04-01,27683827.0
2020-04-02,27465081.0
2020-04-03,27401117.0
2020-04-04,26124276.0
2020-04-05,25289049.0
2020-04-06,26956823.0
2020-04-07,27654008.0
2020-04-08,28301869.0
2020-04-09,28395182.0
2020-04-10,26694096.0
2020-04-11,25423893.0
2020-04-12,25773824.0
2020-04-13,27720554.0
2020-04-14,27914792.0
2020-04-15,27973600.0
2020-04-16,27741741.0
2020-04-17,27673221.0
2020-04-18,26032674.0
2020-04-19,25653523.0
2020-04-20,27063419.0
2020-04-21,27585253.0
2020-04-22,27511868.0
2020-04-23,27606327.0
2020-04-24,27563966.0
2020-04-25,25934641.0
2020-04-26,25892299.0
2020-04-27,27549743.0
2020-04-28,27940954.0
2020-04-29,27566796.0
2020-04-30,27424342.0
2020-05-01,27005945.0
2020-05-02,26210767.0
2020-05-04,28836058.0
2020-05-05,28645152.0
2020-05-06,28248091.0
2020-05-07,27775399.0
2020-05-08,27788570.0
2020-05-09,26449711.0
2020-05-10,25496445.0
2020-05-11,27890103.0
2020-05-12,27782867.0
2020-05-13,27990503.0
2020-05-14,28570647.0
2020-05-15,28694488.0
2020-05-16,27359240.0
2020-05-17,27278991.0
2020-05-18,28901009.0
2020-05-19,28906576.0
2020-05-20,28624252.0
2020-05-21,29044029.0
2020-05-22,29649639.0
2020-05-23,28806660.0
2020-05-24,28266220.0
2020-05-25,28604041.0
2020-05-26,31544231.0
2020-05-27,32169018.0
2020-05-28,32632159.0
2020-05-29,32178729.0
2020-05-30,29772688.0
2020-05-31,28321112.0
2020-06-01,30874955.0
2020-06-02,33339352.0
2020-06-03,35086656.0
2020-06-04,35646058.0
2020-06-05,35278072.0
2020-06-06,33369425.0
2020-06-07,31876357.0
2020-06-08,34575059.0
2020-06-09,36265179.0
2020-06-10,35831371.0
2020-06-11,34567099.0
2020-06-12,33579587.0
2020-06-13,30604977.0
2020-06-14,29924085.0
2020-06-15,32562979.0
2020-06-16,32966666.0
2020-06-17,33479629.0
2020-06-18,34479924.0
2020-06-19,34771199.0
2020-06-20,33806705.0
2020-06-21,33816762.0
2020-06-22,36554917.0
2020-06-23,36132864.0
2020-06-24,35731224.0
2020-06-25,36058576.0
2020-06-26,36331244.0
2020-06-27,35105535.0
2020-06-28,35252679.0
2020-06-29,38011077.0
2020-06-30,37619488.0
2020-07-01,37425694.0
2020-07-02,38313522.0
2020-07-03,37492091.0
2020-07-04,36153176.0
2020-07-05,36526922.0
2020-07-06,39018989.0
2020-07-07,39137309.0
2020-07-08,40252713.0
2020-07-09,41024786.0
2020-07-10,40201705.0
2020-07-11,38625947.0
2020-07-12,37260761.0
2020-07-13,40152101.0
2020-07-14,39787074.0
2020-07-15,39598485.0
2020-07-16,39455831.0
2020-07-17,40130049.0
2020-07-18,39399700.0
2020-07-19,39236326.0
2020-07-20,41160828.0
2020-07-21,40172701.0
2020-07-22,39711128.0
2020-07-23,39388882.0
2020-07-24,38855169.0
2020-07-25,37497993.0
2020-07-26,38198826.0
2020-07-27,40685225.0
2020-07-28,40322252.0
2020-07-29,39953311.0
2020-07-30,40062752.0
2020-07-31,38832811.0
2020-08-01,36361998.0
2020-08-02,36156568.0
2020-08-03,37824168.0
2020-08-04,36688117.0
2020-08-05,36703139.0
2020-08-06,36904248.0
2020-08-07,37256432.0
2020-08-08,36831516.0
2020-08-09,37795875.0
2020-08-10,40731633.0
2020-08-11,40316970.0
2020-08-12,40250191.0
2020-08-13,40387929.0
2020-08-14,40043327.0
2020-08-15,37551010.0
2020-08-16,36234844.0
2020-08-17,38233433.0
2020-08-18,38133350.0
2020-08-19,37157694.0
2020-08-20,36955870.0
2020-08-21,37231139.0
2020-08-22,36436091.0
2020-08-23,37122719.0
2020-08-24,40607939.0
2020-08-25,40615450.0
2020-08-26,39426385.0
2020-08-27,40037528.0
2020-08-28,39470638.0
2020-08-29,36169790.0
2020-08-30,33710971.0
