period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-03-10,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Central,Central,45996,megawatthours
2026-03-10,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,45962,megawatthours
2026-03-10,AVA,Avista Corporation,DF,Day-ahead demand forecast,Arizona,Arizona,38687,megawatthours
2026-03-10,AVA,Avista Corporation,DF,Day-ahead demand forecast,Central,Central,38591,megawatthours
2026-03-10,AVA,Avista Corporation,DF,Day-ahead demand forecast,Eastern,Eastern,38573,megawatthours
2026-03-10,AVA,Avista Corporation,DF,Day-ahead demand forecast,Mountain,Mountain,38615,megawatthours
2026-03-10,AVA,Avista Corporation,DF,Day-ahead demand forecast,Pacific,Pacific,38687,megawatthours
2026-03-10,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,84539,megawatthours
2026-03-10,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,84549,megawatthours
2026-03-10,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,84549,megawatthours
2026-03-10,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,84605,megawatthours
2026-03-10,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,84539,megawatthours
2026-03-10,BPAT,Bonneville Power Administration,DF,Day-ahead demand forecast,Arizona,Arizona,193871,megawatthours
2026-03-10,BPAT,Bonneville Power Administration,DF,Day-ahead demand forecast,Central,Central,193935,megawatthours
2026-03-10,BPAT,Bonneville Power Administration,DF,Day-ahead demand forecast,Eastern,Eastern,193968,megawatthours
2026-03-10,BPAT,Bonneville Power Administration,DF,Day-ahead demand forecast,Mountain,Mountain,193907,megawatthours
2026-03-10,BPAT,Bonneville Power Administration,DF,Day-ahead demand forecast,Pacific,Pacific,193871,megawatthours
2026-03-10,CAL,California,DF,Day-ahead demand forecast,Arizona,Arizona,573741,megawatthours
2026-03-10,CAL,California,DF,Day-ahead demand forecast,Central,Central,573855,megawatthours
2026-03-10,CAL,California,DF,Day-ahead demand forecast,Eastern,Eastern,573990,megawatthours
2026-03-10,CAL,California,DF,Day-ahead demand forecast,Mountain,Mountain,573698,megawatthours
2026-03-10,CAL,California,DF,Day-ahead demand forecast,Pacific,Pacific,573741,megawatthours
2026-03-10,CAR,Carolinas,DF,Day-ahead demand forecast,Eastern,Eastern,563265,megawatthours
2026-03-10,CENT,Central,DF,Day-ahead demand forecast,Central,Central,767578,megawatthours
2026-03-10,CENT,Central,DF,Day-ahead demand forecast,Eastern,Eastern,771024,megawatthours
2026-03-10,CHPD,Public Utility District No. 1 of Chelan County,DF,Day-ahead demand forecast,Arizona,Arizona,6482,megawatthours
2026-03-10,CHPD,Public Utility District No. 1 of Chelan County,DF,Day-ahead demand forecast,Central,Central,6507,megawatthours
2026-03-10,CHPD,Public Utility District No. 1 of Chelan County,DF,Day-ahead demand forecast,Eastern,Eastern,6516,megawatthours
